,0
202,['Os' 'Ir' 'Pt' 'Au' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra']
203,['Os' 'Ir' 'Pt' 'Au' 'Hg' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra']
204,['Ir' 'Pt' 'Au' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra']
205,['Ir' 'Pt' 'Au' 'Hg' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac']
206,['Pt' 'Au' 'Hg' 'Tl' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac']
207,['Pt' 'Au' 'Hg' 'Tl' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac']
208,['Pt' 'Au' 'Hg' 'Tl' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th']
209,['Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th']
210,['Au' 'Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th']
211,['Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa']
212,['Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa']
213,['Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa']
214,['Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U']
215,['Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U']
216,['Hg' 'Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U']
217,['Tl' 'Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U']
218,['Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U']
219,['Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np']
220,['Pb' 'Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'Np']
221,['Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U']
222,['Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U']
223,['Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np' 'Am']
224,['Bi' 'Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np']
225,['Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np']
226,['Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np']
227,['Po' 'At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np']
228,['At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np' 'Pu']
229,['At' 'Rn' 'Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np' 'Pu' 'Am']
230,['Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np' 'Pu' 'Am']
231,['Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np' 'Pu']
232,['Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np' 'Pu' 'Am']
233,['Fr' 'Ra' 'Ac' 'Th' 'Pa' 'U' 'Np' 'Pu' 'Am' 'Cm' 'Bk']
234,['Ra' 'Ac' 'Th' 'Pa' 'U' 'Np' 'Pu' 'Am' 'Cm' 'Bk']
235,['Ac' 'Th' 'Pa' 'U' 'Np' 'Pu' 'Am' 'Cm']
236,['Ac' 'Th' 'Pa' 'U' 'Np' 'Pu' 'Am' 'Cm' 'Bk']
237,['Th' 'Pa' 'U' 'Np' 'Pu' 'Am' 'Cm' 'Cf']
238,['Th' 'Pa' 'U' 'Np' 'Pu' 'Am' 'Cm' 'Bk' 'Cf']
239,['Pa' 'U' 'Np' 'Pu' 'Am' 'Cm' 'Bk' 'Cf']
240,['U' 'Np' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es']
241,['U' 'Np' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm']
242,['U' 'Np' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm']
243,['U' 'Np' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm']
244,['U' 'Np' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md']
245,['U' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md']
246,['U' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md']
247,['U' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md']
248,['U' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md' 'No']
249,['U' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md' 'No']
250,['U' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md' 'No']
251,['U' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md' 'No']
252,['U' 'Np' 'Pu' 'Am' 'Cm' 'Bk' 'Cf' 'Es' 'Fm' 'Md' 'No' 'Lr']
253,['U' 'Bk' 'Cf' 'Es' 'Fm' 'Md' 'No' 'Lr' 'Rf']
254,['U' 'Cf' 'Es' 'Fm' 'Md' 'No' 'Lr' 'Rf']
255,['U' 'Cf' 'Es' 'Fm' 'Md' 'No' 'Lr' 'Rf' 'Db']
256,['Cf' 'Es' 'Fm' 'Md' 'No' 'Lr' 'Rf' 'Db']
257,['Es' 'Fm' 'Md' 'No' 'Lr' 'Rf' 'Db']
258,['Fm' 'Md' 'No' 'Lr' 'Rf' 'Db' 'Sg']
259,['Fm' 'Md' 'No' 'Lr' 'Rf' 'Db' 'Sg']
260,['Md' 'No' 'Lr' 'Rf' 'Db' 'Sg' 'Bh']
261,['Lr' 'Rf' 'Db' 'Sg' 'Bh']
262,['No' 'Lr' 'Rf' 'Db' 'Sg' 'Bh']
263,['Rf' 'Db' 'Sg' 'Bh' 'Hs']
264,['Sg' 'Bh' 'Hs']
265,['Rf' 'Sg' 'Bh' 'Hs']
266,['Lr' 'Db' 'Sg' 'Bh' 'Hs' 'Mt']
267,['Rf' 'Db' 'Bh' 'Hs' 'Ds']
268,['Db' 'Hs' 'Mt']
269,['Sg' 'Hs' 'Ds']
270,['Db' 'Bh' 'Hs' 'Mt' 'Ds']
271,['Sg' 'Bh' 'Ds']
272,['Bh' 'Rg']
273,['Hs' 'Ds']
274,['Bh' 'Mt' 'Rg']
275,['Hs' 'Mt']
276,['Mt']
277,['Hs' 'Mt' 'Ds' 'Cn']
278,['Bh' 'Hs' 'Mt' 'Rg' 'Nh']
279,['Ds' 'Rg']
280,['Ds' 'Rg']
281,['Ds' 'Rg' 'Cn']
282,['Mt' 'Ds' 'Rg' 'Cn' 'Nh']
283,['Cn' 'Nh']
284,['Cn' 'Nh' 'Fl']
285,['Cn' 'Nh']
286,['Rg' 'Cn' 'Nh' 'Fl']
287,['Fl' 'Mc']
288,['Fl' 'Mc']
289,['Fl' 'Mc']
290,['Nh' 'Fl' 'Mc' 'Lv']
291,['Lv']
292,['Lv']
293,['Lv' 'Ts']
294,['Lv' 'Ts' 'Og']
295,[]
296,[]
297,[]
298,[]
299,[]
