,0
72,['Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Se' 'Br' 'Kr' 'Rb']
73,['Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Sr']
74,['Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Br' 'Kr' 'Rb' 'Sr']
75,['Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'Se' 'Br' 'Kr' 'Rb' 'Sr']
76,['Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Br' 'Kr' 'Rb' 'Sr' 'Y']
77,['Co' 'Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr']
78,['Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Br' 'Rb' 'Sr' 'Y' 'Zr']
79,['Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Se' 'Kr' 'Rb' 'Sr' 'Y' 'Zr']
80,['Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Br' 'Rb' 'Sr' 'Y' 'Zr']
81,['Cu' 'Zn' 'Ga' 'Ge' 'As' 'Se' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo']
82,['Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Se' 'Br' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo']
83,['Zn' 'Ga' 'Ge' 'As' 'Se' 'Br' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo']
84,['Zn' 'Ga' 'Ge' 'As' 'Se' 'Br' 'Rb' 'Y' 'Zr' 'Nb' 'Mo']
85,['Zn' 'Ga' 'Ge' 'As' 'Se' 'Br' 'Kr' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru']
86,['Ga' 'Ge' 'As' 'Se' 'Br' 'Rb' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru']
87,['Ga' 'Ge' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Y' 'Zr' 'Nb' 'Mo' 'Tc']
88,['Ge' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru']
89,['Ge' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Sr' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh']
90,['Ge' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd']
91,['As' 'Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd']
92,['As' 'Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Nb' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag']
93,['Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag']
94,['Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Nb' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd']
95,['Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd']
96,['Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In']
97,['Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In']
98,['Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In']
99,['Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn']
100,['Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn']
101,['Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn']
102,['Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Ag' 'Cd' 'In' 'Sn']
103,['Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb']
104,['Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te']
105,['Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te']
106,['Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Ag' 'In' 'Sn' 'Sb' 'Te']
107,['Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Cd' 'In' 'Sn' 'Sb' 'Te']
108,['Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Ag' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe']
109,['Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe']
110,['Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Ag' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe']
111,['Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe']
112,['Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs']
113,['Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs']
114,['Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
115,['Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
116,['Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
117,"['Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba'
 'La']"
118,['Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
119,['Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
120,['Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'I' 'Xe' 'Cs' 'Ba' 'La']
121,"['Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce'
 'Pr']"
122,['Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce']
123,['Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce']
124,['Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr']
125,"['Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr'
 'Nd']"
126,['Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd']
127,"['Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr'
 'Nd']"
128,"['Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd'
 'Pm']"
129,"['Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm'
 'Sm']"
130,"['Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm'
 'Eu']"
131,"['Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm'
 'Sm' 'Eu']"
132,"['Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm'
 'Eu']"
133,['Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm']
134,"['Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu'
 'Gd']"
135,"['In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd'
 'Tb']"
136,['In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd']
